density,wind_speed,direction,strategy,perc_burned,perc_preburned,village_damaged
50,0,1,Nothing,87.90,5.99,True
50,0,1,Nothing,87.40,6.02,True
50,0,1,Nothing,88.36,6.00,True
50,0,1,Nothing,88.52,6.06,True
50,3,1,Nothing,88.32,6.04,True
50,3,1,Nothing,87.70,5.99,True
50,3,1,Nothing,88.20,5.97,True
50,3,1,Nothing,88.04,6.02,True
50,3,2,Nothing,88.48,6.05,True
50,3,2,Nothing,87.98,6.05,True
50,3,2,Nothing,88.42,6.00,True
50,3,2,Nothing,88.96,6.00,True
50,3,3,Nothing,88.35,5.96,True
50,3,3,Nothing,87.98,5.96,True
50,3,3,Nothing,88.54,6.00,True
50,3,3,Nothing,88.76,6.00,True
50,3,4,Nothing,88.95,6.02,True
50,3,4,Nothing,88.58,6.03,True
50,3,4,Nothing,88.47,6.03,True
50,3,4,Nothing,1.96,0.00,False
50,3,5,Nothing,2.18,0.00,False
50,3,5,Nothing,1.72,0.00,False
50,3,5,Nothing,1.87,0.00,False
50,3,5,Nothing,1.71,0.00,False
50,3,6,Nothing,1.93,0.00,False
50,3,6,Nothing,2.15,0.00,False
50,3,6,Nothing,2.17,0.00,False
50,3,6,Nothing,1.86,0.00,False
50,3,7,Nothing,1.83,0.00,False
50,3,7,Nothing,1.67,0.00,False
50,3,7,Nothing,1.79,0.00,False
50,3,7,Nothing,2.01,0.00,False
50,3,8,Nothing,2.07,0.00,False
50,3,8,Nothing,2.09,0.00,False
50,3,8,Nothing,2.04,0.00,False
50,3,8,Nothing,2.09,0.00,False
50,7,1,Nothing,1.92,0.00,False
50,7,1,Nothing,1.85,0.00,False
50,7,1,Nothing,1.97,0.00,False
50,7,1,Nothing,1.92,0.00,False
50,7,2,Nothing,1.68,0.00,False
50,7,2,Nothing,1.94,0.00,False
50,7,2,Nothing,2.17,0.00,False
50,7,2,Nothing,2.04,0.00,False
50,7,3,Nothing,1.88,0.00,False
50,7,3,Nothing,2.00,0.00,False
50,7,3,Nothing,1.91,0.00,False
50,7,3,Nothing,2.42,0.00,False
50,7,4,Nothing,1.94,0.00,False
50,7,4,Nothing,1.91,0.00,False
50,7,4,Nothing,1.93,0.00,False
50,7,4,Nothing,1.84,0.00,False
50,7,5,Nothing,1.82,0.00,False
50,7,5,Nothing,2.10,0.00,False
50,7,5,Nothing,2.01,0.00,False
50,7,5,Nothing,2.10,0.00,False
50,7,6,Nothing,1.99,0.00,False
50,7,6,Nothing,2.05,0.00,False
50,7,6,Nothing,2.02,0.00,False
50,7,6,Nothing,2.24,0.00,False
50,7,7,Nothing,1.87,0.00,False
50,7,7,Nothing,1.81,0.00,False
50,7,7,Nothing,1.86,0.00,False
50,7,7,Nothing,2.11,0.00,False
50,7,8,Nothing,2.05,0.00,False
50,7,8,Nothing,2.10,0.00,False
50,7,8,Nothing,1.84,0.00,False
50,7,8,Nothing,2.08,0.00,False
50,23,1,Nothing,1.93,0.00,False
50,23,1,Nothing,1.62,0.00,False
50,23,1,Nothing,2.06,0.00,False
50,23,1,Nothing,2.16,0.00,False
50,23,2,Nothing,2.26,0.00,False
50,23,2,Nothing,1.97,0.00,False
50,23,2,Nothing,2.49,0.00,False
50,23,2,Nothing,2.50,0.00,False
50,23,3,Nothing,2.12,0.00,False
